iter	RMSE
0	79857.489
1	78996.29356
2	78007.36783
3	77311.8328
4	76380.9185
5	75430.10608
6	74476.36501
7	73663.65704
8	72948.01882
9	72186.55407
10	71505.46834
11	70693.63934
12	69959.1596
13	69197.0252
14	68440.1832
15	67741.40312
16	66988.14685
17	66290.67457
18	65597.12927
19	64865.19525
20	64127.0547
21	63506.99135
22	62830.69582
23	62177.92802
24	61597.63585
25	60987.95081
26	60339.4003
27	59709.72691
28	59092.74554
29	58542.30485
30	57952.80369
31	57538.952
32	57016.7644
33	56439.5347
34	55919.58994
35	55354.28578
36	54844.94498
37	54322.77458
38	53811.55755
39	53292.38801
40	52828.16381
41	52329.08354
42	51866.5313
43	51376.70221
44	50964.84227
45	50500.41291
46	49984.93728
47	49549.07636
48	49164.21464
49	48735.72811
50	48223.45086
51	47867.49062
52	47436.73482
53	47014.69026
54	46597.65819
55	46188.26306
56	45812.69474
57	45409.62646
58	45015.28287
59	44643.77834
60	44334.01409
61	43966.0755
62	43644.72946
63	43307.70318
64	42926.77703
65	42571.28107
66	42279.97371
67	41973.2653
68	41701.36078
69	41496.58862
70	41136.05776
71	40849.53415
72	40574.05486
73	40216.1545
74	39957.37485
75	39644.59358
76	39374.89479
77	39081.3863
78	38815.32392
79	38532.74782
80	38235.29871
81	37958.31108
82	37728.79555
83	37472.48291
84	37195.68379
85	37001.64552
86	36733.43392
87	36517.75326
88	36256.82864
89	36025.19594
90	35774.5535
91	35514.10674
92	35317.42319
93	35116.41286
94	34885.8154
95	34647.87307
96	34413.96258
97	34222.4625
98	34032.15034
99	33834.02074
100	33623.3294
101	33426.90457
102	33243.11433
103	33073.3532
104	32905.67845
105	32703.55179
106	32538.98523
107	32397.03098
108	32252.23336
109	32095.25457
110	31923.79685
111	31747.06197
112	31607.315
113	31448.38291
114	31252.942
115	31087.29845
116	30941.36978
117	30810.97351
118	30650.66865
119	30547.09929
120	30376.36872
121	30325.53327
122	30161.35914
123	30051.90941
124	29895.89974
125	29724.8707
126	29577.73925
127	29423.72761
128	29282.92679
129	29166.68234
130	29031.38913
131	28898.31948
132	28758.31653
133	28606.22616
134	28452.33525
135	28336.80704
136	28231.46395
137	28121.1659
138	28001.6982
139	27870.32138
140	27748.86314
141	27611.59782
142	27552.10544
143	27438.60648
144	27324.56048
145	27187.91751
146	27162.9682
147	27073.55932
148	26959.19695
149	26859.71602
150	26757.58481
151	26656.1608
152	26550.10105
153	26518.11211
154	26418.11533
155	26303.00583
156	26212.07502
157	26103.69879
158	25982.37213
159	25871.12797
160	25757.71777
161	25663.52666
162	25561.9056
163	25465.25424
164	25441.70187
165	25361.59652
166	25270.02535
167	25174.63609
168	25059.41872
169	24971.51816
170	24877.60446
171	24805.39537
172	24716.47539
173	24621.55393
174	24517.13874
175	24499.38086
176	24415.50099
177	24355.4201
178	24253.58484
179	24163.2459
180	24099.49658
181	24079.74352
182	24002.03582
183	23985.88239
184	23899.57296
185	23841.6965
186	23764.43209
187	23687.90665
188	23637.0603
189	23595.4529
190	23542.07174
191	23469.33686
192	23402.06874
193	23332.54375
194	23273.84542
195	23208.77694
196	23169.44228
197	23098.0306
198	23048.23668
199	23032.57342
200	22969.22992
201	22951.85972
202	22867.8629
203	22803.04814
204	22731.39305
205	22691.40094
206	22640.78846
207	22627.00772
208	22558.76161
209	22491.34794
210	22427.7573
211	22369.44146
212	22312.41167
213	22251.4316
214	22184.27947
215	22134.24969
216	22063.49171
217	22007.87124
218	21961.58158
219	21907.87343
220	21868.62774
221	21822.35261
222	21756.10831
223	21711.92792
224	21659.1078
225	21601.06324
226	21549.57511
227	21493.506
228	21424.91597
229	21375.35241
230	21338.28197
231	21303.55105
232	21284.32079
233	21229.8887
234	21172.94512
235	21117.75425
236	21069.15081
237	21026.6
238	20981.95731
239	20947.55975
240	20906.78028
241	20862.84935
242	20818.94741
243	20776.8761
244	20718.91464
245	20672.83941
246	20635.18834
247	20592.08243
248	20548.11666
249	20508.31828
250	20468.43743
251	20423.59726
252	20380.77324
253	20337.99239
254	20293.11312
255	20260.60964
256	20232.89479
257	20213.8299
258	20162.99544
259	20125.79983
260	20082.99164
261	20046.77615
262	20008.46176
263	19979.40174
264	19936.64697
265	19900.57415
266	19864.61731
267	19833.35055
268	19808.25303
269	19771.4759
270	19726.41477
271	19692.44629
272	19672.45166
273	19631.16766
274	19606.48418
275	19578.6372
276	19556.21571
277	19523.60621
278	19488.3219
279	19475.29055
280	19449.49238
281	19409.83254
282	19384.14987
283	19350.64224
284	19323.90181
285	19294.25871
286	19261.84973
287	19228.83331
288	19194.16774
289	19167.99806
290	19156.67048
291	19125.14877
292	19080.33707
293	19063.2199
294	19023.05527
295	18998.37136
296	18960.70675
297	18925.10807
298	18913.34578
299	18887.69808
300	18875.6237
301	18849.59241
302	18810.39517
303	18792.18549
304	18766.44142
305	18733.44819
306	18703.50418
307	18674.92483
308	18636.28809
309	18621.50583
310	18594.06824
311	18565.32971
312	18532.13834
313	18520.33559
314	18493.89149
315	18461.98184
316	18437.43274
317	18413.166
318	18384.54748
319	18345.65777
320	18313.96817
321	18290.46937
322	18265.30521
323	18243.99149
324	18215.1749
325	18184.69878
326	18161.3612
327	18134.10915
328	18109.15042
329	18082.47334
330	18062.91499
331	18039.98043
332	18034.88414
333	18017.62641
334	18011.10562
335	17980.27942
336	17967.54048
337	17949.59583
338	17938.20797
339	17911.49669
340	17887.29049
341	17867.46606
342	17840.08548
343	17822.34509
344	17813.59351
345	17792.63581
346	17771.66956
347	17738.94323
348	17716.21836
349	17710.11651
350	17690.53598
351	17675.97808
352	17650.93295
353	17615.54248
354	17594.28375
355	17579.78267
356	17555.88496
357	17527.31185
358	17504.65465
359	17490.7488
360	17461.80537
361	17445.8782
362	17423.36652
363	17394.77978
364	17374.23093
365	17354.31744
366	17333.65758
367	17311.95282
368	17295.18144
369	17274.16914
370	17247.8701
371	17236.69656
372	17216.14044
373	17197.51036
374	17178.87059
375	17154.59059
376	17135.78701
377	17113.90025
378	17096.02132
379	17072.89732
380	17054.60318
381	17040.56435
382	17025.38989
383	17005.44457
384	16985.76961
385	16965.43703
386	16949.67243
387	16937.42877
388	16912.12734
389	16890.18798
390	16870.44778
391	16851.40521
392	16841.90181
393	16824.73217
394	16809.49886
395	16794.1011
396	16784.78653
397	16770.27722
398	16756.28765
399	16747.41007
400	16732.54483
401	16716.16469
402	16698.92467
403	16679.41816
404	16658.60856
405	16647.6125
406	16634.23309
407	16625.66688
408	16607.71509
409	16590.20554
410	16577.39153
411	16558.70216
412	16547.2209
413	16531.30108
414	16513.94841
415	16509.31113
416	16493.92287
417	16481.45453
418	16477.66968
419	16468.83189
420	16452.74041
421	16435.72901
422	16420.72395
423	16396.45259
424	16385.92377
425	16368.45519
426	16349.29405
427	16331.73828
428	16314.30692
429	16301.42825
430	16281.44868
431	16268.74292
432	16252.38487
433	16241.1759
434	16226.62129
435	16208.40257
436	16190.6857
437	16176.34024
438	16166.84909
439	16156.66364
440	16137.39871
441	16123.49781
442	16114.12302
443	16097.93044
444	16085.41688
445	16071.43594
446	16057.56902
447	16044.31563
448	16028.61254
449	16009.34405
450	15998.32463
451	15982.68808
452	15968.76501
453	15954.45751
454	15936.21353
455	15923.68592
456	15916.21438
457	15899.17879
458	15892.89387
459	15879.37084
460	15866.5576
461	15848.54333
462	15838.65787
463	15823.6403
464	15807.14322
465	15787.86557
466	15775.49505
467	15761.98528
468	15753.64708
469	15737.69017
470	15727.38856
471	15712.33584
472	15698.25741
473	15682.43755
474	15668.31768
475	15655.6208
476	15643.80673
477	15627.92688
478	15615.48599
479	15600.50073
480	15589.97523
481	15577.29621
482	15555.85765
483	15543.24033
484	15528.81118
485	15510.96463
486	15503.97986
487	15490.53677
488	15475.39153
489	15459.75745
490	15444.89042
491	15434.13687
492	15423.26939
493	15411.09627
494	15401.65163
495	15383.12549
496	15369.40564
497	15358.59088
498	15347.30331
499	15335.3244
500	15320.84682
501	15308.10464
502	15293.43879
503	15284.10294
504	15270.06578
505	15258.39478
506	15242.9837
507	15230.57739
508	15219.22596
509	15207.22612
510	15194.71571
511	15176.30212
512	15163.80186
513	15151.21878
514	15141.11876
515	15130.83175
516	15122.90204
517	15116.38797
518	15102.56535
519	15093.40321
520	15080.86108
521	15067.1668
522	15059.52511
523	15044.94654
524	15032.82982
525	15021.55428
526	15015.53052
527	15002.56545
528	14991.23857
529	14979.21336
530	14962.95487
531	14953.32292
532	14945.98025
533	14939.66703
534	14931.98947
535	14920.16571
536	14904.32401
537	14895.7402
538	14888.84927
539	14876.70623
540	14863.13297
541	14855.18426
542	14852.91881
543	14840.15343
544	14829.17594
545	14817.96066
546	14815.30285
547	14804.80249
548	14796.5705
549	14779.19799
550	14767.20483
551	14751.1113
552	14736.60512
553	14719.10226
554	14705.02349
555	14696.58863
556	14688.03267
557	14670.65585
558	14657.882
559	14648.795
560	14637.85619
561	14629.56759
562	14619.06123
563	14609.30496
564	14598.28261
565	14587.57626
566	14581.78238
567	14570.09093
568	14561.25443
569	14550.0724
570	14538.45474
571	14530.52391
572	14517.96141
573	14507.80886
574	14493.08535
575	14484.16699
576	14473.18019
577	14460.2433
578	14445.29064
579	14432.94727
580	14424.07127
581	14410.51414
582	14398.54921
583	14388.43062
584	14382.07594
585	14371.42419
586	14361.75932
587	14350.51573
588	14337.81482
589	14328.23837
590	14319.2882
591	14304.63268
592	14293.65312
593	14285.94882
594	14275.65482
595	14263.45005
596	14255.4546
597	14243.35409
598	14231.39788
599	14229.64076
600	14220.8291
601	14215.57532
602	14209.18705
603	14195.84841
604	14187.15067
605	14183.88429
606	14176.30977
607	14167.8975
608	14159.82481
609	14149.76884
610	14140.63093
611	14131.16589
612	14122.58658
613	14112.23588
614	14100.6397
615	14092.26499
616	14082.20225
617	14072.82173
618	14062.66908
619	14048.9327
620	14041.27968
621	14027.07708
622	14018.27703
623	14008.05018
624	13993.83188
625	13982.45849
626	13974.45772
627	13967.49979
628	13960.0029
629	13946.32342
630	13931.89147
631	13923.92072
632	13916.7033
633	13907.06037
634	13896.83849
635	13890.32466
636	13885.39111
637	13877.59962
638	13872.79283
639	13863.03197
640	13855.99724
641	13846.76218
642	13831.68804
643	13824.45158
644	13816.30903
645	13806.70514
646	13799.83296
647	13784.25317
648	13776.22872
649	13768.32176
650	13757.56561
651	13750.0449
652	13742.98494
653	13726.44202
654	13714.4591
655	13708.26535
656	13700.50347
657	13691.32659
658	13682.35859
659	13671.95685
660	13662.70912
661	13652.35046
662	13643.50346
663	13634.33564
664	13624.00204
665	13610.1515
666	13597.7799
667	13590.90168
668	13581.89303
669	13568.46954
670	13561.4212
671	13550.73212
672	13541.90333
673	13531.6569
674	13521.08504
675	13514.62018
676	13505.54589
677	13493.74857
678	13478.32186
679	13466.03199
680	13459.66508
681	13452.18469
682	13441.10345
683	13434.21453
684	13423.02872
685	13417.73866
686	13408.26071
687	13396.71152
688	13391.94725
689	13380.78952
690	13372.18676
691	13361.50347
692	13353.00092
693	13350.69127
694	13341.999
695	13331.63755
696	13322.93436
697	13313.15415
698	13305.96015
699	13300.85122
700	13293.9282
701	13283.86379
702	13276.55094
703	13270.02067
704	13260.48069
705	13253.68847
706	13242.04611
707	13231.16964
708	13222.462
709	13210.50485
710	13197.37586
711	13186.89973
712	13173.49668
713	13164.46792
714	13157.99657
715	13145.82273
716	13139.50478
717	13130.27173
718	13125.15034
719	13116.90167
720	13110.82044
721	13103.53916
722	13099.49807
723	13090.39228
724	13084.27352
725	13073.84546
726	13065.29326
727	13051.70219
728	13047.24135
729	13037.66981
730	13026.4733
731	13021.35032
732	13012.89213
733	13002.97261
734	12997.54065
735	12981.44238
736	12971.18227
737	12962.65872
738	12956.6649
739	12943.46349
740	12937.5492
741	12925.24389
742	12922.22773
743	12911.66552
744	12902.64314
745	12895.55604
746	12887.74097
747	12873.10347
748	12863.83074
749	12858.46684
750	12853.76649
751	12844.72938
752	12839.68196
753	12829.40448
754	12815.35893
755	12804.69411
756	12795.51908
757	12787.82558
758	12775.94577
759	12771.49821
760	12762.78086
761	12752.26879
762	12739.2731
763	12734.24347
764	12727.3752
765	12723.05753
766	12713.75863
767	12707.90365
768	12701.54923
769	12692.8117
770	12682.55983
771	12675.62316
772	12668.80944
773	12658.8606
774	12652.96423
775	12639.78764
776	12631.09459
777	12624.5244
778	12614.46749
779	12603.26777
780	12588.84025
781	12581.54637
782	12571.45098
783	12560.99108
784	12554.98378
785	12543.05231
786	12531.3141
787	12527.24868
788	12519.34051
789	12510.0765
790	12503.5227
791	12496.63271
792	12487.18879
793	12479.70249
794	12469.78214
795	12465.93689
796	12457.24106
797	12446.56682
798	12442.01342
799	12432.38716
800	12426.59977
801	12415.27041
802	12407.5405
803	12400.64399
804	12395.04927
805	12384.02252
806	12375.23293
807	12364.60319
808	12358.85898
809	12351.59631
810	12346.59515
811	12343.47018
812	12335.12046
813	12327.07301
814	12322.40792
815	12311.99707
816	12304.46711
817	12293.21705
818	12287.02788
819	12280.88536
820	12277.06881
821	12267.64118
822	12261.88537
823	12253.37675
824	12248.01084
825	12237.7491
826	12229.20259
827	12221.11796
828	12214.67994
829	12210.66754
830	12203.67086
831	12195.17132
832	12184.24072
833	12176.25523
834	12170.53501
835	12165.04803
836	12159.73814
837	12149.85268
838	12139.87667
839	12133.4382
840	12126.0394
841	12118.15583
842	12113.71131
843	12102.94997
844	12095.47793
845	12087.97105
846	12081.55621
847	12076.09724
848	12067.9929
849	12061.09171
850	12049.32691
851	12042.57287
852	12032.34439
853	12023.88155
854	12019.0037
855	12008.95753
856	12000.47326
