iter	Passed	Remaining
0	2	9847
1	4	9709
2	6	9518
3	8	9789
4	11	10515
5	13	10170
6	15	9919
7	18	10344
8	20	10118
9	22	10042
10	24	10089
11	27	10225
12	29	10102
13	31	10080
14	33	10112
15	36	10183
16	38	10191
17	41	10240
18	43	10349
19	46	10322
20	48	10250
21	50	10249
22	53	10350
23	55	10334
24	57	10373
25	60	10355
26	62	10368
27	64	10364
28	67	10329
29	69	10345
30	72	10415
31	74	10420
32	76	10348
33	78	10289
34	80	10307
35	83	10294
36	85	10312
37	87	10285
38	89	10285
39	92	10281
40	94	10314
41	97	10315
42	99	10272
43	101	10297
44	104	10325
45	106	10344
46	109	10379
47	112	10390
48	114	10404
49	117	10430
50	119	10405
51	121	10425
52	124	10431
53	126	10397
54	128	10411
55	131	10400
56	133	10434
57	136	10441
58	138	10430
59	141	10472
60	143	10446
61	145	10440
62	148	10434
63	150	10408
64	152	10387
65	154	10383
66	157	10442
67	160	10476
68	163	10476
69	165	10454
70	167	10459
71	170	10480
72	173	10494
73	175	10476
74	177	10466
75	179	10455
76	182	10475
77	185	10516
78	188	10521
79	190	10532
80	193	10554
81	196	10612
82	199	10612
83	201	10607
84	203	10585
85	206	10584
86	208	10597
87	211	10596
88	214	10625
89	216	10610
90	218	10588
91	220	10584
92	223	10604
93	226	10607
94	228	10614
95	231	10612
96	233	10611
97	236	10611
98	238	10619
99	241	10620
100	243	10611
101	246	10625
102	248	10628
103	251	10615
104	253	10616
105	256	10612
106	258	10597
107	260	10592
108	263	10613
109	265	10598
110	267	10581
111	269	10572
112	273	10603
113	276	10627
114	278	10618
115	280	10608
116	282	10595
117	285	10600
118	287	10596
119	290	10597
120	292	10589
121	295	10587
122	297	10580
123	299	10573
124	302	10588
125	305	10603
126	307	10599
127	310	10595
128	312	10594
129	315	10621
130	318	10631
131	320	10619
132	323	10635
133	326	10638
134	328	10626
135	330	10619
136	333	10608
137	336	10629
138	339	10642
139	341	10644
140	344	10641
141	346	10643
142	349	10641
143	351	10644
144	354	10642
145	356	10635
146	359	10651
147	362	10646
148	364	10632
149	366	10617
150	369	10643
151	371	10635
152	373	10620
153	375	10602
154	378	10597
155	381	10616
156	383	10618
157	386	10627
158	388	10618
159	391	10617
160	393	10601
161	395	10597
162	397	10583
163	399	10558
164	402	10563
165	404	10555
166	405	10533
167	408	10522
168	410	10516
169	412	10511
170	415	10514
171	418	10521
172	420	10508
173	422	10502
174	424	10493
175	426	10475
176	428	10464
177	430	10463
178	433	10461
179	435	10452
180	437	10441
181	439	10430
182	441	10422
183	444	10424
184	446	10416
185	448	10404
186	450	10383
187	452	10386
188	455	10379
189	457	10371
190	459	10363
191	461	10352
192	463	10354
193	465	10343
194	468	10337
195	470	10325
196	472	10316
197	474	10315
198	477	10316
199	479	10305
200	481	10300
201	484	10314
202	487	10315
203	489	10310
204	491	10301
