iter	RMSE
0	80967.92781
1	79953.30443
2	78916.01751
3	77960.98953
4	77017.3547
5	76129.61113
6	75356.12459
7	74473.80444
8	73618.67766
9	72844.71628
10	72012.05606
11	71165.58717
12	70353.0506
13	69579.63676
14	68727.57592
15	67912.51476
16	67143.56063
17	66364.92084
18	65602.0886
19	64896.87239
20	64175.01785
21	63455.85944
22	62782.7096
23	62063.00606
24	61420.71485
25	60734.07105
26	60186.14672
27	59508.57554
28	58939.64812
29	58383.79624
30	57829.72534
31	57257.44738
32	56728.82262
33	56131.29987
34	55546.53368
35	54965.91163
36	54346.09455
37	53795.83496
38	53271.03503
39	52696.1886
40	52155.31597
41	51655.20311
42	51112.02399
43	50649.13918
44	50164.59552
45	49632.01463
46	49126.12915
47	48647.13246
48	48265.81946
49	47772.50958
50	47275.02919
51	46852.66024
52	46363.07188
53	45956.38563
54	45525.16617
55	45179.48737
56	44759.99074
57	44357.6432
58	43964.6887
59	43633.85315
60	43274.56963
61	42880.0683
62	42514.93742
63	42166.09073
64	41849.85747
65	41477.36667
66	41144.46386
67	40766.50749
68	40367.15245
69	40069.75776
70	39736.97944
71	39393.50601
72	39157.12607
73	38881.19383
74	38536.86725
75	38255.23371
76	37940.09962
77	37628.04752
78	37311.95151
79	37034.51547
80	36763.96614
81	36469.12171
82	36197.25875
83	35912.84599
84	35666.18332
85	35399.30177
86	35151.80925
87	34943.22503
88	34719.4003
89	34442.614
90	34240.97489
91	34016.82039
92	33772.65302
93	33523.98381
94	33275.63843
95	33063.97283
96	32840.20082
97	32617.81226
98	32415.69139
99	32216.57147
100	32000.57144
101	31800.32282
102	31594.49718
103	31397.47703
104	31216.75984
105	31044.38347
106	30867.81348
107	30697.29048
108	30533.02524
109	30361.74586
110	30175.47473
111	29998.98807
112	29907.7016
113	29725.12159
114	29528.01887
115	29371.45202
116	29188.48377
117	29073.29707
118	28914.44138
119	28758.36318
120	28611.07924
121	28464.76219
122	28336.17539
123	28171.84823
124	28038.77036
125	27923.59369
126	27790.30767
127	27658.22218
128	27510.29707
129	27367.46787
130	27260.91939
131	27163.56408
132	27038.16393
133	26912.92987
134	26778.18973
135	26640.7879
136	26507.53406
137	26368.66861
138	26252.67459
139	26139.44438
140	26049.17929
141	25917.94645
142	25807.53451
143	25696.56601
144	25576.24368
145	25443.85613
146	25353.54559
147	25263.31577
148	25168.75207
149	25074.34083
150	24982.19108
151	24860.90039
152	24780.24739
153	24711.77889
154	24626.50238
155	24524.66974
156	24496.31887
157	24405.06204
158	24308.45462
159	24224.25216
160	24115.89169
161	24091.61199
162	24032.89981
163	23965.73133
164	23866.70798
165	23793.36108
166	23701.18775
167	23611.88728
168	23523.1492
169	23445.28768
170	23357.8296
171	23283.22151
172	23206.6042
173	23112.38351
174	23042.48724
175	23008.00973
176	22933.36819
177	22854.23843
178	22766.83906
179	22684.15203
180	22615.57711
181	22579.09684
182	22516.21494
183	22453.01834
184	22390.4261
185	22321.54356
186	22272.54163
187	22222.37976
188	22143.07445
189	22079.96952
190	22019.98895
191	21947.60596
192	21895.23183
193	21837.50602
194	21766.5456
195	21707.3876
196	21658.63379
197	21601.6493
198	21539.85446
199	21478.52408
200	21409.81817
201	21358.59263
202	21294.63118
203	21238.39536
204	21179.17193
205	21112.30113
206	21056.27698
207	20999.55007
208	20934.07763
209	20891.50712
210	20844.12704
211	20826.87216
212	20765.42797
213	20712.41645
214	20660.03788
215	20611.50268
216	20590.26101
217	20566.28116
218	20517.18384
219	20465.16798
220	20414.09454
221	20371.20055
222	20299.36697
223	20252.94761
224	20192.43235
225	20151.18339
226	20110.17772
227	20075.30766
228	20034.60948
229	19992.37865
230	19940.80275
231	19891.29182
232	19855.38069
233	19794.91302
234	19753.66803
235	19700.73859
236	19655.95019
237	19643.33896
238	19599.18469
239	19584.3947
240	19547.82571
241	19525.54603
242	19483.27033
243	19442.10527
244	19390.16977
245	19347.56405
246	19310.66687
247	19275.751
248	19233.50243
249	19204.61664
250	19163.6741
251	19150.84978
252	19116.91466
