iter	Passed	Remaining
0	1	7304
1	3	6902
2	4	7010
3	6	7456
4	8	7713
5	10	7821
6	12	7907
7	14	8090
8	16	8210
9	18	8281
10	20	8440
11	22	8439
12	24	8395
13	26	8435
14	28	8499
15	30	8573
16	32	8565
17	34	8544
18	35	8475
19	38	8570
20	40	8549
21	41	8476
22	43	8437
23	45	8471
24	47	8558
25	49	8548
26	51	8529
27	53	8517
28	55	8541
29	57	8511
30	59	8597
31	61	8630
32	63	8644
33	65	8615
34	67	8653
35	69	8601
36	71	8593
37	73	8587
38	75	8664
39	78	8736
40	80	8715
41	82	8718
42	83	8693
43	86	8710
44	87	8685
45	89	8693
46	92	8736
47	94	8729
48	96	8746
49	98	8746
50	100	8731
51	102	8732
52	103	8722
53	105	8706
54	108	8754
55	110	8755
56	112	8756
57	114	8741
58	115	8724
59	117	8728
60	120	8756
61	122	8754
62	124	8787
63	126	8786
64	128	8789
65	130	8778
66	132	8779
67	134	8783
68	136	8774
69	139	8808
70	142	8858
71	144	8876
72	146	8889
73	148	8906
74	150	8908
75	153	8960
76	156	8969
77	158	8975
78	160	8987
79	162	9005
80	165	9006
81	167	9015
82	169	9027
83	172	9044
84	174	9064
85	176	9081
86	179	9093
87	180	9069
88	182	9066
89	185	9077
90	187	9080
91	189	9081
92	191	9082
93	193	9089
94	196	9088
95	197	9081
96	200	9096
97	202	9093
98	205	9113
99	207	9110
100	209	9103
101	211	9115
102	213	9121
103	215	9127
104	218	9135
105	220	9150
106	223	9179
107	225	9186
108	227	9176
109	230	9194
110	233	9222
111	236	9248
112	237	9236
113	240	9245
114	243	9276
115	245	9288
116	248	9305
117	251	9328
118	253	9343
119	255	9338
120	258	9351
121	260	9355
122	263	9360
123	265	9353
124	267	9357
125	269	9348
126	270	9328
127	272	9319
128	274	9316
129	277	9324
130	279	9307
131	280	9298
132	282	9290
133	285	9287
134	287	9280
135	288	9270
136	290	9263
137	292	9251
138	295	9262
139	297	9278
140	299	9262
141	301	9260
142	303	9252
143	305	9250
144	307	9240
145	309	9235
146	311	9228
147	313	9232
148	316	9229
149	317	9220
150	319	9205
151	321	9199
152	323	9189
153	325	9183
154	327	9178
155	329	9187
156	332	9189
157	334	9179
158	335	9167
159	337	9156
160	339	9148
161	340	9130
162	342	9120
163	344	9111
164	347	9134
165	349	9124
166	351	9122
167	353	9116
168	355	9119
169	357	9107
170	359	9100
171	361	9095
172	363	9088
173	365	9091
174	367	9081
175	369	9069
176	371	9075
177	373	9069
178	375	9064
179	377	9061
180	379	9055
181	381	9051
182	383	9042
183	385	9035
184	387	9035
185	389	9024
186	391	9018
187	393	9022
188	395	9026
189	398	9034
190	400	9024
191	402	9021
192	403	9010
193	406	9020
194	408	9022
195	411	9026
196	413	9031
197	415	9032
198	417	9030
199	419	9027
200	421	9025
201	423	9016
202	425	9015
203	428	9015
204	430	9014
205	432	9008
206	434	9004
207	436	9000
208	438	8994
209	440	8992
210	442	8995
211	444	8995
212	446	8992
213	448	8979
214	450	8973
215	451	8962
216	454	8962
217	456	8958
218	458	8957
219	460	8953
220	462	8957
221	464	8946
222	466	8938
223	468	8940
224	470	8934
225	472	8926
226	474	8926
227	476	8925
228	478	8924
229	480	8914
230	482	8909
231	484	8904
232	486	8902
233	488	8897
234	489	8891
235	491	8884
236	493	8882
237	495	8872
238	497	8873
239	499	8870
240	501	8861
241	502	8848
242	505	8848
243	507	8850
244	509	8843
245	511	8837
246	512	8828
247	514	8822
248	516	8815
249	518	8809
250	520	8812
251	522	8805
252	524	8800
253	525	8791
254	527	8785
255	529	8783
256	532	8792
257	534	8792
258	537	8799
259	539	8795
260	541	8794
261	543	8790
262	545	8783
263	547	8778
264	548	8771
265	550	8769
266	553	8773
267	555	8769
268	557	8762
269	558	8756
270	560	8753
271	562	8746
272	564	8734
273	565	8728
274	568	8727
275	569	8723
276	572	8720
277	573	8716
278	575	8704
279	577	8702
280	579	8707
281	581	8700
282	583	8700
283	586	8700
284	587	8695
285	590	8693
286	591	8689
287	593	8685
288	595	8679
289	598	8685
290	600	8687
291	602	8685
292	604	8681
293	606	8678
294	608	8667
295	610	8667
296	612	8663
297	614	8661
298	615	8653
299	617	8648
300	619	8646
301	621	8639
302	623	8632
303	625	8628
304	627	8626
305	629	8624
306	631	8621
307	633	8619
308	635	8618
309	637	8613
310	638	8603
311	640	8600
312	643	8601
313	644	8598
314	647	8598
315	649	8598
316	651	8593
317	652	8586
318	654	8582
319	657	8586
320	659	8585
321	661	8577
322	663	8581
323	665	8573
324	667	8573
325	669	8570
326	671	8568
327	673	8564
328	675	8561
329	676	8552
330	678	8546
331	681	8550
332	683	8549
333	685	8548
334	687	8547
335	689	8547
336	691	8544
337	693	8543
338	696	8543
339	697	8539
340	699	8537
341	701	8532
342	703	8525
343	705	8517
344	707	8515
345	708	8509
346	711	8511
347	713	8516
348	716	8518
349	718	8515
350	721	8522
351	723	8524
352	725	8521
353	727	8521
354	730	8525
355	732	8524
356	734	8526
357	737	8528
358	739	8531
359	741	8527
360	744	8536
361	746	8537
362	748	8535
363	751	8534
364	753	8536
365	755	8532
366	757	8533
367	760	8539
368	762	8540
369	764	8538
370	767	8540
371	769	8541
372	771	8541
373	774	8545
374	777	8548
375	780	8555
376	782	8553
377	784	8553
378	786	8554
379	789	8557
380	792	8567
381	794	8568
382	797	8569
383	799	8566
384	801	8571
385	804	8573
386	806	8573
387	809	8582
388	811	8577
389	814	8580
390	816	8576
391	819	8583
392	821	8588
393	824	8592
394	826	8591
395	828	8588
396	830	8585
397	832	8584
398	835	8586
399	837	8588
400	840	8589
401	842	8589
402	845	8598
403	848	8600
404	850	8599
405	852	8599
406	855	8602
407	857	8602
408	858	8589
409	860	8585
410	863	8587
411	865	8586
412	867	8585
413	870	8588
414	872	8589
415	874	8589
416	877	8592
417	879	8592
418	881	8590
419	884	8591
420	887	8594
421	889	8591
422	891	8591
423	893	8592
424	896	8594
425	898	8592
426	900	8589
427	902	8584
428	904	8586
429	907	8589
430	909	8587
431	911	8586
432	913	8582
433	916	8586
434	919	8588
435	921	8588
436	923	8587
437	926	8589
438	928	8587
439	930	8586
440	932	8585
441	935	8589
442	937	8588
443	940	8589
444	942	8585
445	944	8583
446	946	8582
447	948	8581
448	950	8579
449	953	8582
450	956	8583
451	958	8580
452	960	8579
453	962	8575
454	964	8577
455	967	8580
456	969	8578
457	971	8575
458	974	8578
459	976	8580
460	978	8577
461	980	8569
462	983	8572
463	985	8571
464	987	8569
465	989	8566
466	992	8568
467	993	8563
468	996	8564
469	998	8562
470	1001	8565
471	1003	8567
472	1006	8566
473	1008	8564
474	1010	8565
475	1013	8567
476	1015	8568
477	1018	8567
478	1021	8572
479	1023	8571
480	1026	8573
481	1028	8570
482	1030	8570
483	1032	8570
484	1035	8570
485	1037	8569
486	1039	8568
487	1042	8569
488	1045	8571
489	1047	8572
490	1049	8571
491	1052	8575
492	1054	8571
493	1057	8571
494	1059	8568
495	1061	8570
496	1064	8574
497	1067	8577
498	1069	8576
499	1071	8574
500	1074	8575
501	1076	8576
502	1079	8575
503	1081	8573
504	1084	8577
505	1086	8578
506	1088	8575
507	1092	8583
508	1095	8591
509	1098	8593
510	1100	8594
511	1103	8594
512	1106	8599
513	1109	8600
514	1111	8603
515	1114	8602
516	1116	8603
517	1119	8605
518	1122	8608
519	1125	8614
520	1128	8616
521	1131	8619
522	1134	8624
523	1137	8629
524	1139	8630
525	1142	8629
526	1144	8627
527	1146	8626
528	1149	8625
529	1151	8625
530	1154	8629
531	1157	8637
532	1160	8637
533	1163	8639
534	1165	8641
535	1168	8638
536	1170	8637
537	1172	8637
538	1175	8640
539	1177	8636
540	1179	8634
541	1182	8633
542	1184	8635
543	1188	8641
544	1191	8646
545	1194	8649
546	1196	8647
547	1198	8646
548	1201	8647
549	1203	8646
550	1206	8646
551	1208	8643
552	1211	8644
553	1213	8643
554	1215	8641
555	1218	8641
556	1221	8646
557	1223	8645
558	1225	8642
559	1228	8642
560	1231	8645
561	1233	8645
562	1236	8647
563	1238	8644
564	1241	8643
565	1243	8645
566	1246	8647
567	1248	8645
568	1251	8648
569	1254	8648
570	1256	8646
571	1259	8648
572	1261	8647
573	1264	8646
574	1266	8646
575	1269	8648
576	1271	8647
577	1274	8648
578	1277	8649
579	1279	8649
580	1282	8651
581	1285	8653
582	1287	8651
583	1290	8650
584	1292	8648
585	1294	8647
586	1297	8647
587	1299	8648
588	1302	8646
589	1304	8643
590	1306	8640
591	1308	8640
592	1310	8637
593	1313	8636
594	1316	8638
595	1318	8636
596	1320	8633
597	1322	8630
598	1325	8631
599	1327	8628
600	1329	8627
601	1332	8627
602	1335	8628
603	1336	8622
604	1338	8617
605	1340	8612
606	1342	8610
607	1345	8610
608	1347	8611
609	1350	8609
610	1352	8608
611	1355	8608
612	1357	8607
613	1359	8606
614	1362	8606
615	1364	8605
616	1366	8602
617	1369	8602
618	1371	8600
619	1373	8594
620	1376	8595
621	1378	8595
622	1380	8592
623	1382	8589
624	1384	8585
625	1386	8581
626	1388	8578
627	1390	8572
628	1392	8570
629	1395	8573
630	1398	8572
631	1400	8571
632	1402	8568
633	1404	8566
634	1407	8564
